country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,96,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,97,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,93,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,95,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,95,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,95,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,95,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,95,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,93,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,95,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,94,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,90,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,93,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,95,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,96,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,91,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,95,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,95,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,72,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,80,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,79,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,79,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,64,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,63,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,63,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,63,Total,Units,%,Estimated value,,,12 to 23 months old
Azerbaijan,AZ,AZE,31,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,63,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,31,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,95,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,98,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,94,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,91,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,97,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,91,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,98,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bahamas,BS,BHS,44,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,98,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,98,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,98,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,97,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bahrain,BH,BHR,48,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,97,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,51,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,37,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,37,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,75,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,92,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,96,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,99,Total,Units,%,Estimated value,,,12 to 23 months old
Bangladesh,BD,BGD,50,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,99,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,99,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,89,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,95,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,94,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,86,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,83,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,87,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,91,Total,Units,%,Estimated value,,,12 to 23 months old
Barbados,BB,BRB,52,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,94,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,98,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,98,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,98,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,96,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,98,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,98,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,98,Total,Units,%,Estimated value,,,12 to 23 months old
Belarus,BY,BLR,112,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,98,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belgium,BE,BEL,56,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,7,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,93,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,89,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,97,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,99,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,79,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,80,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,91,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,85,Total,Units,%,Estimated value,,,12 to 23 months old
Belize,BZ,BLZ,84,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,89,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,24,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,57,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,51,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,62,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,74,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,70,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,70,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,69,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,69,Total,Units,%,Estimated value,,,12 to 23 months old
Benin,BJ,BEN,204,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,63,Total,Units,%,Estimated value,,,12 to 23 months old
Bhutan,BT,BTN,64,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,43,Total,Units,%,Estimated value,,,12 to 23 months old
