country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,65,Total,Units,%,Estimated value,,,12 to 23 months old
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,61,Total,Units,%,Estimated value,,,12 to 23 months old
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,66,Total,Units,%,Estimated value,,,12 to 23 months old
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,63,Total,Units,%,Estimated value,,,12 to 23 months old
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,56,Total,Units,%,Estimated value,,,12 to 23 months old
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,56,Total,Units,%,Estimated value,,,12 to 23 months old
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,61,Total,Units,%,Estimated value,,,12 to 23 months old
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,59,Total,Units,%,Estimated value,,,12 to 23 months old
Afghanistan,AF,AFG,4,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,59,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,98,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,98,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,98,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,98,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,8,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,94,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,92,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,94,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,93,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,92,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,90,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,89,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,92,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,98,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,52,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,55,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,56,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,52,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,54,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,60,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,58,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2015,21,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,86,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,95,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,98,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,95,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,93,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,97,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,98,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,99,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,56,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,91,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,90,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,85,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,80,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,86,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,90,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2023,78,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2024,81,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2016,34,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2017,92,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2018,93,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2019,92,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2020,79,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2021,96,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,2022,96,Total,Units,%,Estimated value,,,12 to 23 months old
